TAP_College_Code,TAP_Sector_Group,TAP_College_Name,prev_scholarship,family_Employees,Scholarship_Headcount,Active_Student,Family_Card,Academic_year,Semister_Aattendence,GPA,Annual_income,Scholarship_rupees 
758,5-INDEPENDENT,ST JOSEPHS COLLEGE,Y,4,64,N,N,2018,81,4.8,95813,50437.95
580,5-INDEPENDENT,ELIM BIBLE INSTITUTE AND COLLEGE,N,2,9,Y,Y,2018,82,9.1,94178,40148.32
5605,3-SUNY SO,SUC CORTLAND,Y,4,3,N,N,2018,71,3.7,114395,52444.57
6480,6-BUS. DEGREE,JAMESTOWN BUSINESS COLLEGE,N,3,3,Y,Y,2018,67,7.6,55548,44321.76
6315,6-BUS. DEGREE,DEVRY COLLEGE OF NEW YORK,Y,2,12,N,N,2018,91,5.9,64693,53875.84
133,5-INDEPENDENT,COL OF MT ST VINCENT 4YR TRIM,N,4,1,Y,Y,2018,83,6.8,97971,39339.19
5799,5-INDEPENDENT,EXCELSIOR COLLEGE GRAD,Y,1,3,N,N,2018,79,6.9,107650,51573.83
300,5-INDEPENDENT,HOFSTRA UNIVERSITY,N,3,122,Y,Y,2018,73,6.5,118358,44666.93
5610,3-SUNY SO,SUNY PLATTSBURGH GRAD,Y,2,2,N,N,2018,83,3.4,106193,36856.26
500,5-INDEPENDENT,MOLLOY COLLEGE,N,1,84,Y,Y,2018,71,3.5,91274,46496.52
5200,5-INDEPENDENT,ALFRED UNIVERSITY GRAD,Y,4,2,N,N,2018,83,5.2,85055,41317.69
675,5-INDEPENDENT,THE SAGE COLLEGES,N,3,30,Y,Y,2018,67,6.2,111244,53523.9
5045,5-INDEPENDENT,MARIST COLLEGE GRAD,Y,2,1,N,N,2018,69,5.7,79521,54824.92
865,5-INDEPENDENT,TOURO COLLEGE,N,4,125,Y,Y,2018,87,4.4,63697,46071.52
2265,5-INDEPENDENT,DAVIS COLLEGE,Y,4,10,N,N,2018,89,5.8,46814,35332.48
945,3-SUNY SO,SUC POTSDAM,N,3,119,Y,Y,2018,77,4.8,92505,45031.41
2215,4-SUNY CC,NIAGARA COMMUNITY COLLEGE,Y,2,51,N,N,2018,74,9.1,106274,38094.37
1040,5-INDEPENDENT,WAGNER COLLEGE,N,4,51,Y,Y,2018,72,3.7,51197,45248.46
2005,4-SUNY CC,CAYUGA COMMUNITY COLLEGE,Y,1,24,N,N,2018,77,7.6,96421,40350.84
1413,1-CUNY SR,CUNY HUNTER COLLEGE,N,3,585,Y,Y,2018,65,5.9,69000,36441.26
2036,4-SUNY CC,CLINTON COMMUNITY COLLEGE,Y,2,15,N,N,2018,82,6.8,108490,39148.09
1414,1-CUNY SR,CUNY JOHN JAY COLLEGE,N,1,179,Y,Y,2018,75,6.9,88973,52546.75
2147,4-SUNY CC,ROCKLAND COMMUNITY COLLEGE,Y,4,14,N,N,2018,66,6.5,81741,44038.85
1045,5-INDEPENDENT,WEBB INST OF NAVAL ARCH.,N,3,5,Y,Y,2018,80,3.4,90110,53708.45
985,5-INDEPENDENT,SYRACUSE UNIVERSITY (UNDERGRAD),Y,2,368,N,N,2018,79,3.5,83175,43043.86
2252,4-SUNY CC,GENESEE COMMUNITY COLLEGE,N,4,29,Y,Y,2018,71,5.2,68741,51202.62
5034,5-INDEPENDENT,KEUKA COLLEGE,Y,2,4,N,N,2018,84,6.2,112217,40933.69
875,3-SUNY SO,SUNY STONY BROOK,N,1,1137,Y,Y,2018,77,5.7,55483,42679.48
751,5-INDEPENDENT,ST JOHNS UNIVERSITY,Y,4,918,N,N,2018,66,4.4,56223,43000.75
5140,5-INDEPENDENT,UNIVERSITY OF ROCHESTER,N,3,7,Y,Y,2018,72,5.8,68235,48536.22
535,5-INDEPENDENT,THE NEW SCHOOL,Y,2,26,N,N,2018,91,4.8,86934,35081.16
5418,1-CUNY SR,CUNY YORK COLLEGE,N,4,2,Y,Y,2018,89,9.1,61104,51503.46
5345,5-INDEPENDENT,TOURO COLLEGE,Y,4,3,N,N,2018,93,3.7,73293,37633.02
330,5-INDEPENDENT,ITHACA COLLEGE,N,3,151,Y,Y,2018,68,7.6,61834,47986.43
6030,3-SUNY SO,MORRISVILLE STATE COLLEGE,Y,2,14,N,N,2018,98,5.9,95091,50721.34
7734,6-BUS. DEGREE,BRYANT & STRATTON ROCHESTER,N,4,18,Y,Y,2018,68,6.8,82537,49015.06
7510,6-BUS. DEGREE,EMPIRE EDUCATION CORPORATION,Y,1,4,N,N,2018,91,6.9,63270,49215.16
6144,5-INDEPENDENT,TROCAIRE COLLEGE,N,3,2,Y,Y,2018,87,6.5,63202,48259.04
8506,VOCATIONAL - VET SCHOOLS ONLY,CHARLES STUART SCHOOL,Y,2,7,N,N,2018,79,3.4,57730,52605.9
7738,6-BUS. DEGREE,LONG ISLAND BUSINESS INSTITUTE,N,1,1,Y,Y,2018,67,3.5,82110,52260.25
170,5-INDEPENDENT,COOPER UNION ADVNCMT SCI ART,Y,4,30,N,N,2018,69,5.2,81533,35616.05
5720,5-INDEPENDENT,D'YOUVILLE COLLEGE,N,3,1,Y,Y,2018,88,6.2,91646,51163.04
5695,3-SUNY SO,SUNY POLYTECHNIC INSTITUTE,Y,4,2,N,N,2018,66,4.4,70154,40708.26
340,5-INDEPENDENT,JUILLIARD SCHOOL,N,2,3,Y,Y,2018,88,5.8,71962,46941.18
5590,3-SUNY SO,SUC ONEONTA,Y,4,2,N,N,2018,91,4.8,83812,37432.36
420,5-INDEPENDENT,MANHATTANVILLE COLLEGE,N,3,54,Y,Y,2018,74,9.1,85824,50414.38
5420,3-SUNY SO,SUC OSWEGO,Y,2,4,N,N,2018,96,3.7,116491,49374.24
555,5-INDEPENDENT,NEW YORK UNIVERSITY,N,4,400,Y,Y,2018,86,7.6,54809,44686.46
5060,5-INDEPENDENT,NEW YORK UNIVERSITY GRAD,Y,1,1,N,N,2018,98,5.9,106083,51264.29
640,5-INDEPENDENT,ROBERTS WESLEYAN COLLEGE,N,3,59,Y,Y,2018,84,6.8,46647,38229.56
5151,5-INDEPENDENT,YESHIVA UNIVERSITY,Y,2,2,N,N,2018,81,6.9,89709,53689.06
715,5-INDEPENDENT,ST FRANCIS COLLEGE,N,1,33,Y,Y,2018,86,6.5,75005,50582.05
5024,3-SUNY SO,SUNY COLLEGE DELHI NURSING PROG,Y,4,2,N,N,2018,97,3.4,104667,41108.73
830,5-INDEPENDENT,ST THOMAS AQUINAS COLLEGE,N,3,50,Y,Y,2018,89,3.5,116368,52526.66
3030,3-SUNY SO,MORRISVILLE STATE COLLEGE,Y,2,20,N,N,2018,77,5.2,112695,54976.23
895,3-SUNY SO,SUNY ALBANY (UNDERGRAD),N,4,403,Y,Y,2018,84,6.2,49438,38305.02
2256,4-SUNY CC,FINGER LAKES COMMUNITY COLLEGE,Y,4,58,N,N,2018,88,5.7,102133,39213.37
925,3-SUNY SO,SUC NEW PALTZ,N,3,217,Y,Y,2018,95,4.4,59865,54299.58
2254,4-SUNY CC,HERKIMER COMMUNITY COLLEGE,Y,2,18,N,N,2018,67,5.8,82290,41765.8
965,3-SUNY SO,SUNY COLLEGE AT OLD WESTBURY (UG),N,4,50,Y,Y,2018,86,4.8,66248,38866.93
2185,4-SUNY CC,ONONDAGA COMMUNITY COLLEGE,Y,1,39,N,N,2018,95,9.1,111376,43272.54
1015,5-INDEPENDENT,UNIVERSITY OF ROCHESTER,N,3,386,Y,Y,2018,75,3.7,116934,48371.96
2157,4-SUNY CC,SUFFOLK COMMUNITY COLLEGE,Y,2,113,N,N,2018,97,7.6,95394,47726.46
1099,5-INDEPENDENT,METROPOLITAN COLLEGE OF NY,N,1,19,Y,Y,2018,65,5.9,83164,37630.77
915,3-SUNY SO,SUC FREDONIA,Y,4,180,N,N,2018,88,6.8,52248,49042.37
1409,1-CUNY SR,CUNY BARUCH COLLEGE,N,3,361,Y,Y,2018,71,6.9,96330,45738.9
2045,5-INDEPENDENT,CULINARY INSTITUTE OF AMERICA,Y,2,4,N,N,2018,77,6.5,53356,35021.66
1417,1-CUNY SR,CUNY COL STATEN ISLAND,N,4,142,Y,Y,2018,82,3.4,58734,38994.42
2042,4-SUNY CC,CORNING COMMUNITY COLLEGE,Y,1,51,N,N,2018,65,3.5,51745,54408.52
1418,1-CUNY SR,CUNY YORK COLLEGE,N,4,80,Y,Y,2018,90,5.2,83047,54934.43
1412,1-CUNY SR,CUNY HERBERT H LEHMAN COLLEGE,Y,3,173,N,N,2018,98,6.2,88325,37067.93
2065,4-SUNY CC,ERIE COMMUNITY COLL - ALL CAMPUS,N,2,84,Y,Y,2018,86,5.7,74006,45518.33
2188,5-INDEPENDENT,VILLA MARIA COLLEGE OF BUFFALO,Y,4,38,N,N,2018,81,4.4,97321,45209.11
1400,2-CUNY CC,CUNY BRONX CC,N,1,51,Y,Y,2018,98,5.8,91918,39283.18
1030,5-INDEPENDENT,VASSAR COLLEGE,Y,3,91,N,N,2018,97,4.8,67329,52327.16
2178,6-BUS. DEGREE,LAB INST OF MERCHANDISING,N,2,18,Y,Y,2018,90,9.1,115766,45642.49
960,3-SUNY SO,ALFRED UNIVERSITY,Y,1,36,N,N,2018,73,3.7,88587,47318.72
2235,5-INDEPENDENT,VAUGHN COLL AERONAUTICS TECH,N,4,43,Y,Y,2018,89,7.6,62807,50654.51
2225,4-SUNY CC,SULLIVAN COMMUNITY COLLEGE,Y,3,7,N,N,2018,74,5.9,50006,51576.01
940,3-SUNY SO,SUNY PLATTSBURGH,N,2,136,Y,Y,2018,96,6.8,103611,44683.35
5305,5-INDEPENDENT,NIAGARA UNIVERSITY GRAD,Y,4,3,N,N,2018,87,6.9,93324,40718.61
900,3-SUNY SO,SUC BROCKPORT (UNDERGRAD),N,4,191,Y,Y,2018,85,6.5,60249,35568.06
855,5-INDEPENDENT,SKIDMORE COLLEGE,Y,3,47,N,N,2018,98,3.4,84704,38499.6
5000,5-INDEPENDENT,ADELPHI UNIVERSITY,N,2,3,Y,Y,2018,80,3.5,82519,40080.1
710,5-INDEPENDENT,ST ELIZABETH COLG OF NURSING,Y,4,1,N,N,2018,65,5.2,100379,45506.49
5110,5-INDEPENDENT,ST JOHNS UNIVERSITY - GRAD,N,1,16,Y,Y,2018,78,6.2,118834,44993.93
5065,3-SUNY SO,SUC OLD WESTBURY,Y,3,3,N,N,2018,85,5.7,116311,44141.82
670,5-INDEPENDENT,DAEMEN COLLEGE,N,2,78,Y,Y,2018,98,4.4,91440,52344.18
410,5-INDEPENDENT,MANHATTAN SCHOOL OF MUSIC,Y,1,4,N,N,2018,89,5.8,101684,38384.36
5400,3-SUNY SO,SUC BROCKPORT GRAD,N,4,4,Y,Y,2018,74,4.8,63617,45154.76
5390,3-SUNY SO,SUNY AT ALBANY GRAD,Y,3,4,N,N,2018,65,9.1,110349,36478.97
455,5-INDEPENDENT,ALBANY MEMORIAL HOSP SCHOOL NURS,N,2,1,Y,Y,2018,99,3.7,47943,49880.27
5625,3-SUNY SO,SUC BUFFALO,Y,4,3,N,N,2018,90,7.6,71624,50926.36
375,5-INDEPENDENT,LEMOYNE COLLEGE,N,2,132,Y,Y,2018,65,5.9,93058,35367.21
305,5-INDEPENDENT,HOUGHTON COLLEGE,Y,4,71,N,N,2018,72,6.8,74860,50603.66
5620,1-CUNY SR,CUNY GRAD SCH AND UNIV CENTER,N,3,5,Y,Y,2018,95,6.9,94260,47885.75
6015,3-SUNY SO,SUNY COBLESKILL,Y,2,40,N,N,2018,86,4.4,50609,42529.59
8505,VOCATIONAL - VET SCHOOLS ONLY,WESTERN SUFFOLK BOCES,N,4,2,Y,Y,2018,96,5.8,108098,38642.68
6140,5-INDEPENDENT,PAUL SMITHS COLLEGE,Y,1,8,N,N,2018,93,4.8,112528,36374.27
7730,6-BUS. DEGREE,BRYANT & STRATTON ALBANY,N,3,1,Y,Y,2018,84,9.1,50959,42115.51
6734,6-BUS. DEGREE,BRYANT & STRATTON GREECE,Y,2,1,N,N,2018,83,3.7,103152,40425.91
7718,6-BUS. DEGREE,MONROE COLLEGE,N,1,4,Y,Y,2018,65,7.6,104384,45121.92
7030,6-BUS. DEGREE,BERKELEY COLLEGE,Y,4,9,N,N,2018,68,5.9,102020,35157.28
6045,5-INDEPENDENT,CULINARY INSTITUTE OF AMERICA,N,3,4,Y,Y,2018,81,6.8,81027,45321.88
7977,6-BUS. DEGREE,MANDL SCHOOL,Y,2,1,N,N,2018,93,6.9,106679,52008.16
20,5-INDEPENDENT,ALFRED UNIVERSITY,N,4,85,Y,Y,2018,88,6.5,111245,37420.99
8532,VOCATIONAL - VET SCHOOLS ONLY,INTERNATIONAL CULINARY CENTER,Y,4,8,N,N,2018,82,3.4,106062,37124.64
120,5-INDEPENDENT,CLARKSON UNIVERSITY,N,3,325,Y,Y,2018,94,3.5,87484,46961.38
140,5-INDEPENDENT,COLLEGE OF SAINT ROSE,Y,2,332,N,N,2018,68,5.2,112529,39176.9
6018,6-BUS. DEGREE,MONROE COLLEGE,N,4,159,Y,Y,2018,65,6.2,80331,52434.22
174,3-SUNY SO,CORNELL UNIV STATUTORY COLLEGES,Y,1,407,N,N,2018,91,5.7,76585,45509.79
5615,3-SUNY SO,SUC POTSDAM,N,3,5,Y,Y,2018,97,4.4,105392,44153.98
215,5-INDEPENDENT,ELMIRA COLLEGE,Y,2,101,N,N,2018,81,5.8,87078,43166.32
5775,5-INDEPENDENT,DAEMEN COLLEGE GRAD,N,1,2,Y,Y,2018,85,4.8,66239,43828.93
287,5-INDEPENDENT,HELENE FULD SCHOOL REG NURSING,Y,4,3,N,N,2018,68,9.1,68834,35648.44
5680,3-SUNY SO,SUC EMPIRE STATE COLLEGE,N,3,16,Y,Y,2018,72,3.7,90968,53500.2
325,5-INDEPENDENT,IONA COLLEGE,Y,2,55,N,N,2018,91,7.6,96760,47592.84
5672,1-CUNY SR,CUNY COL STATEN ISLAND,N,4,1,Y,Y,2018,78,5.9,115655,54187.49
355,5-INDEPENDENT,THE KING'S COLLEGE,Y,2,7,N,N,2018,85,6.8,65437,46103.34
5430,3-SUNY SO,SUNY STONY BROOK,N,1,28,Y,Y,2018,86,6.9,98235,52071.7
407,5-INDEPENDENT,MANHATTAN COLLEGE,Y,4,2,N,N,2018,73,6.5,78690,43962.11
5540,3-SUNY SO,SUNY UPSTATE MEDICAL UNIV. (GRAD),N,3,1,Y,Y,2018,70,3.4,100897,46446.66
447,5-INDEPENDENT,MARYMOUNT MANHATTAN COLLEGE,Y,2,14,N,N,2018,88,3.5,74672,50298.29
5415,5-INDEPENDENT,ST JOHN FISHER COLLEGE-GRADUATE,N,4,6,Y,Y,2018,86,5.2,65192,35508.1
525,5-INDEPENDENT,NAZARETH COLLEGE,Y,4,231,N,N,2018,97,6.2,49181,47555.92
5403,5-INDEPENDENT,LONG ISLAND UNIVERSITY,N,3,12,Y,Y,2018,88,5.7,73450,43896.55
575,5-INDEPENDENT,NYACK COLLEGE,Y,2,22,N,N,2018,83,4.4,87680,36089.27
2320,6-BUS. DEGREE,SWEDISH INSTITUTE,N,4,2,Y,Y,2018,93,5.8,96877,53047.96
615,5-INDEPENDENT,PRATT INSTITUTE,Y,1,15,N,N,2018,72,4.8,100807,53815.21
5270,1-CUNY SR,CUNY HUNTER COLLEGE GRAD,N,3,13,Y,Y,2018,92,9.1,72836,38143.99
650,5-INDEPENDENT,ROCHESTER INSTITUTE OF TECHLGY,Y,2,638,N,N,2018,96,3.7,115297,39617.46
5130,3-SUNY SO,SUNY BUFFALO,N,1,16,Y,Y,2018,65,7.6,61530,35002.22
695,5-INDEPENDENT,ST BONAVENTURE UNIVERSITY,Y,4,65,N,N,2018,87,5.9,116688,47493.01
5120,5-INDEPENDENT,SYRACUSE UNIVERSITY GRAD,N,3,1,Y,Y,2018,69,6.8,98940,38151.75
745,5-INDEPENDENT,ST JOHN'S RIVERSIDE HOSPITAL,Y,2,1,N,N,2018,90,6.9,108596,36465.32
4886,3-SUNY SO,SUNY DOWNSTATE MEDICAL CENTER,N,4,3,Y,Y,2018,76,6.5,61896,50769.12
765,5-INDEPENDENT,ST JOSEPH HOSP SCH NURS SYRACUSE,Y,2,6,N,N,2018,65,3.4,76293,48922.3
5021,5-INDEPENDENT,COLUMBIA U TEACHERS COL GRAD,N,4,2,Y,Y,2018,95,3.5,85243,49808.5
845,5-INDEPENDENT,SARAH LAWRENCE COLLEGE,Y,3,6,N,N,2018,97,5.2,111432,36299.33
3020,3-SUNY SO,SUNY COLLEGE OF TECH AT DELHI,N,2,17,Y,Y,2018,67,6.2,60472,43047.88
880,3-SUNY SO,SUNY BINGHAMTON,Y,4,1500,N,N,2018,69,5.7,109031,47063.48
3015,3-SUNY SO,SUNY COBLESKILL,N,1,5,Y,Y,2018,82,4.4,97204,49597.88
905,3-SUNY SO,SUC BUFFALO,Y,3,122,N,N,2018,77,5.8,104553,46250.07
2220,4-SUNY CC,JEFFERSON COMMUNITY COLLEGE,N,2,75,Y,Y,2018,69,4.8,101212,52614.11
916,3-SUNY SO,SUC EMPIRE STATE COLLEGE,Y,1,8,N,N,2018,86,9.1,83452,37372.61
2262,5-INDEPENDENT,BORICUA COLLEGE,N,4,12,Y,Y,2018,85,3.7,54178,39976.87
935,3-SUNY SO,SUC OSWEGO (UNDERGRAD),Y,3,212,N,N,2018,80,7.6,49053,42965.12
2243,4-SUNY CC,SCHENECTADY COUNTY COMM COLLEGE,N,2,16,Y,Y,2018,75,5.9,109979,52152.11
955,3-SUNY SO,SUNY MARITIME COLLEGE,Y,4,45,N,N,2018,67,6.8,104329,53991.9
2240,4-SUNY CC,FULTON MONTGOMERY COMM COLLEGE,N,4,13,Y,Y,2018,98,6.9,87366,38253.41
975,4-SUNY CC,FASHION INST TECH UPPER DIVISION,Y,3,45,N,N,2018,66,6.5,70668,54051.92
2158,5-INDEPENDENT,VILLA MARIA COLLEGE OF BUFFALO,N,2,3,Y,Y,2018,77,3.4,47019,53851.01
999,5-INDEPENDENT,EXCELSIOR COLLEGE,Y,4,31,N,N,2018,95,3.5,65019,38000.14
2180,4-SUNY CC,MONROE COMMUNITY COLLEGE,N,1,98,Y,Y,2018,91,5.2,107501,41627.85
1022,5-INDEPENDENT,SYRACUSE UNIV UTICA COLLEGE,Y,3,209,N,N,2018,82,6.2,92823,35653.75
2144,5-INDEPENDENT,TROCAIRE COLLEGE,N,2,18,Y,Y,2018,90,5.7,119708,38068.63
1050,5-INDEPENDENT,WELLS COLLEGE,Y,1,50,N,N,2018,81,4.4,92912,50792.62
2140,5-INDEPENDENT,PAUL SMITHS COLLEGE,N,4,1,Y,Y,2018,76,5.8,85698,38098.6
1401,2-CUNY CC,CUNY HOSTOS CC,Y,3,18,N,N,2018,99,4.8,72597,44540.86
195,5-INDEPENDENT,D'YOUVILLE COLLEGE,N,2,71,Y,Y,2018,85,9.1,73690,41800.96
1405,1-CUNY SR,CUNY NYC COLLEGE OF TECHNOLOGY,Y,4,101,N,N,2018,88,3.7,75225,47513.6
2070,4-SUNY CC,FASHION INST TECH-LOWER DIVISION,N,4,47,Y,Y,2018,96,7.6,92196,35035.32
1411,1-CUNY SR,CUNY CITY COLLEGE,Y,3,546,N,N,2018,79,5.9,62312,35706.04
2040,5-INDEPENDENT,CONCORDIA COLLEGE,N,2,27,Y,Y,2018,66,6.8,61975,42163.23
1415,1-CUNY SR,CUNY MEDGER EVERS COLLEGE,Y,4,32,N,N,2018,76,6.9,86178,53045.33
2038,4-SUNY CC,COLUMBIA-GREENE COMMUNITY COLLEGE,N,1,5,Y,Y,2018,97,6.5,103976,35172.78
1420,1-CUNY SR,CUNY GRAD SCH UNDERGRAD PROG,Y,3,7,N,N,2018,99,3.4,52823,46999.39
2080,4-SUNY CC,HUDSON VALLEY COMMUNITY COLLEGE,N,2,32,Y,Y,2018,79,3.5,53304,37240.06
1421,2-CUNY CC,STELLA & CHARLES GUTTMAN CC,Y,1,7,N,N,2018,88,5.2,88107,44772.85
1416,1-CUNY SR,CUNY QUEENS COLLEGE,N,4,264,Y,Y,2018,72,6.2,62373,41366.57
2035,5-INDEPENDENT,CAZENOVIA COLLEGE,Y,3,25,N,N,2018,95,5.7,70096,40311.23
1407,2-CUNY CC,CUNY QUEENSBOROUGH CC,N,2,36,Y,Y,2018,65,4.4,68688,45806.6
2025,4-SUNY CC,BROOME COMMUNITY COLLEGE,Y,4,33,N,N,2018,74,5.8,72412,43431.52
2053,4-SUNY CC,DUTCHESS COMMUNITY COLLEGE,N,4,36,Y,Y,2018,79,4.8,97986,47041.1
1410,1-CUNY SR,CUNY BROOKLYN COLLEGE,Y,3,288,N,N,2018,65,9.1,113974,54370.67
2270,5-INDEPENDENT,NEW YORK COLL OF HEALTH PROFESSIO,N,2,2,Y,Y,2018,94,3.7,68048,44952.5
1402,2-CUNY CC,CUNY KINGSBOROUGH CC,Y,4,33,N,N,2018,91,7.6,63040,51214.32
1085,5-INDEPENDENT,YESHIVA UNIVERSITY,N,1,47,Y,Y,2018,89,5.9,72161,41530.67
2120,5-INDEPENDENT,NEW YORK INST TECH 4YR,Y,3,79,N,N,2018,90,6.8,67989,41404.39
1010,3-SUNY SO,SUNY BUFFALO,N,2,1376,Y,Y,2018,78,6.9,98314,37972.13
2113,4-SUNY CC,NASSAU COMMUNITY COLLEGE,Y,1,74,N,N,2018,71,6.5,108027,42880.43
2160,4-SUNY CC,WESTCHESTER COMMUNITY COLLEGE,N,4,41,Y,Y,2018,86,3.4,101676,44031.02
1016,5-INDEPENDENT,UNIVERSITY OF ROCHESTER,Y,3,5,N,N,2018,77,3.5,80702,47192.4
920,3-SUNY SO,SUC GENESEO,N,2,484,Y,Y,2018,76,5.2,114310,51629.65
2110,5-INDEPENDENT,MOUNT SAINT MARY COLLEGE,Y,4,65,N,N,2018,90,6.2,64901,40834.89
2230,4-SUNY CC,ULSTER COMMUNITY COLLEGE,N,2,17,Y,Y,2018,90,5.7,90809,47745.45
970,3-SUNY SO,SUC PURCHASE,Y,4,59,N,N,2018,89,4.4,77933,44414.4
2258,4-SUNY CC,NORTH COUNTRY COMMUNITY COLLEGE,N,3,4,Y,Y,2018,84,5.8,46909,35291.11
950,3-SUNY SO,SUC ENV SCI&FORESTRY,Y,2,184,N,N,2018,87,4.8,114930,53370.24
930,3-SUNY SO,SUC ONEONTA,N,4,174,Y,Y,2018,84,9.1,65811,46087.13
2260,4-SUNY CC,TOMPKINS CORTLAND COMM COLLEGE,Y,1,46,N,N,2018,72,3.7,59282,40320.21
5820,5-INDEPENDENT,SYRACUSE UNIVERSITY UTICA COLLEGE,N,3,1,Y,Y,2018,93,7.6,51844,50234.95
910,3-SUNY SO,SUC CORTLAND (UNDERGRAD),Y,2,131,N,N,2018,81,5.9,47963,45921.73
890,3-SUNY SO,SUNY UPSTATE MEDICAL UNIV,N,1,3,Y,Y,2018,83,6.8,59315,43905.09
3005,3-SUNY SO,SUNY COLLEGE OF TECH AT ALFRED,Y,4,23,N,N,2018,90,6.9,72941,50997.76
775,5-INDEPENDENT,ST LAWRENCE UNIVERSITY,N,3,119,Y,Y,2018,91,6.5,100800,46166.35
2330,5-INDEPENDENT,ELYON COLLEGE,Y,2,1,N,N,2018,69,3.4,55686,51739.12
4975,3-SUNY SO,SUNY POLYTECHNIC INSTITUTE,N,4,165,Y,Y,2018,71,3.5,107029,36216.4
836,5-INDEPENDENT,ST PAUL'S SCH NURSING SI,Y,4,1,N,N,2018,97,5.2,68969,43632.63
635,5-INDEPENDENT,RENSSELAER POLYTECHNIC INST,N,3,412,Y,Y,2018,96,6.2,76325,53974.98
2321,6-BUS. DEGREE,SWEDISH INST QRTLY PROGRAMS,Y,2,3,N,N,2018,93,5.7,89688,52274.22
5100,5-INDEPENDENT,ST BONAVENTURE UNIVERSITY GRAD,N,4,1,Y,Y,2018,87,4.4,58690,54982.69
735,5-INDEPENDENT,ST JOHN FISHER COLLEGE,Y,1,94,N,N,2018,93,5.8,108366,47629.37
5205,1-CUNY SR,CUNY BROOKLYN COLLEGE GRAD,N,3,4,Y,Y,2018,65,4.8,117336,54479.86
685,5-INDEPENDENT,SIENA COLLEGE,Y,2,119,N,N,2018,76,9.1,72492,37624.26
641,5-INDEPENDENT,ROBERTS WESLEYAN COLLEGE,N,1,1,Y,Y,2018,73,3.7,58264,51290.16
5235,5-INDEPENDENT,COLLEGE OF SAINT ROSE GRAD,Y,4,4,N,N,2018,99,7.6,57811,53295.76
245,5-INDEPENDENT,FORDHAM UNIVERSITY,N,3,354,Y,Y,2018,76,5.9,65206,52229.96
2100,5-INDEPENDENT,MERCY COLLEGE,Y,2,146,N,N,2018,76,6.8,59153,49100.12
5395,1-CUNY SR,CUNY QUEENS COLLEGE GRAD,N,4,7,Y,Y,2018,77,6.9,111203,46642.44
560,5-INDEPENDENT,NIAGARA UNIVERSITY,Y,2,188,N,N,2018,66,6.5,97868,52852.58
5450,3-SUNY SO,SUNY BINGHAMTON(GRAD),N,1,11,Y,Y,2018,98,3.4,82627,45999.91
505,5-INDEPENDENT,MEDAILLE COLLEGE,Y,4,16,N,N,2018,68,3.5,72227,37582.78
